zip,zip3,acquisition_status,adjudicated,pending,terminal,boundary_placement,placed_by_polygon,legacy_membership,confirmed_legacy,over_inclusion_removed,under_inclusion_added
01770,017,ACQUISITION_UNBLOCKED,13,0,0,COMPLETE,1,13,1,12,0
01772,017,ACQUISITION_UNBLOCKED,34,0,0,COMPLETE,23,34,23,11,0
01773,017,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,5,15,5,10,0
01775,017,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,4,12,4,8,0
01776,017,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,8,9,8,1,0
01778,017,ACQUISITION_UNBLOCKED,30,0,0,COMPLETE,16,30,16,14,0
01784,017,ACQUISITION_UNBLOCKED,26,0,0,COMPLETE,0,26,0,26,0
01801,018,ACQUISITION_UNBLOCKED,46,0,0,COMPLETE,19,46,19,27,0
01803,018,ACQUISITION_UNBLOCKED,33,0,0,COMPLETE,17,33,17,16,0
01805,018,ACQUISITION_UNBLOCKED,32,0,0,COMPLETE,0,32,0,32,0
01810,018,ACQUISITION_UNBLOCKED,24,0,0,COMPLETE,19,25,19,6,0
01812,018,ACQUISITION_UNBLOCKED,28,0,0,COMPLETE,0,28,0,28,0
01813,018,ACQUISITION_UNBLOCKED,49,0,0,COMPLETE,0,49,0,49,0
01815,018,ACQUISITION_UNBLOCKED,49,0,0,COMPLETE,0,49,0,49,0
01821,018,ACQUISITION_UNBLOCKED,21,0,0,COMPLETE,14,21,14,7,0
01822,018,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,0,18,0,18,0
01824,018,ACQUISITION_UNBLOCKED,32,0,0,COMPLETE,28,32,28,4,0
01825,018,ACQUISITION_UNBLOCKED,17,0,0,COMPLETE,0,17,0,17,0
01826,018,ACQUISITION_UNBLOCKED,22,0,0,COMPLETE,4,22,4,18,0
01827,018,ACQUISITION_UNBLOCKED,8,0,0,COMPLETE,3,8,3,5,0
01830,018,ACQUISITION_UNBLOCKED,19,0,0,COMPLETE,10,20,10,10,0
01831,018,ACQUISITION_UNBLOCKED,19,0,0,COMPLETE,0,19,0,19,0
01832,018,ACQUISITION_UNBLOCKED,19,0,0,COMPLETE,5,19,5,14,0
01833,018,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,7,9,7,2,0
01834,018,ACQUISITION_UNBLOCKED,11,0,0,COMPLETE,2,11,2,9,0
01835,018,ACQUISITION_UNBLOCKED,23,0,0,COMPLETE,7,23,7,16,0
01840,018,ACQUISITION_UNBLOCKED,47,0,0,COMPLETE,6,47,6,41,0
01841,018,ACQUISITION_UNBLOCKED,48,0,0,COMPLETE,13,48,13,35,0
01842,018,ACQUISITION_UNBLOCKED,47,0,0,COMPLETE,0,47,0,47,0
